lineage,level,comparison,row,species,pair 1,pair2,barrier,order,notes,fst notes,references,intra 1,inter 1,strength 1,intra 2,inter 3,strength 2,fst,stage
Hvm x Hpt x Hni x Hya,between species,pair 1,71,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,prehatching,4,egg hatching rate,estimated,Matsubayashi et al. 2009; Sobel and Chen 2014,NA,NA,0.52525,NA,NA,0.96812,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,73,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,csp,5,conspecific sperm precedence,estimated,Matsubayashi et al. 2009; Sobel and Chen 2014,NA,NA,0.98358,NA,NA,0.99334,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,75,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,hybrid inviability,6,survivorship to adulthood reared on maternal host,estimated,Matsubayashi et al. 2009; Sobel and Chen 2014,NA,NA,0.0233,NA,NA,-0.09494,0.98,4
Hni x Hya x Hpu,between species,pair 1,77,Hni x Hya,H. niponica,H. yasutomii,habitat,1,host preference (mixed sex on th or bc from Ohnuma),mean,Katakura et al. 1989; Matsubayashi et al. 2017,20,0,1,17,0,1,0.5334,2
Hni x Hya x Hpu,between species,pair 1,79,Hni x Hya,H. niponica,H. yasutomii,sexual,2,choice mating (success),mean,Katakura et al. 1989; Matsubayashi et al. 2017,0.35,0.3,0.076923077,0.4,0.6,-0.2,0.5334,2
Hni x Hya x Hpu,between species,pair 1,81,Hni x Hya,H. niponica,H. yasutomii,prehatching,3,egg hatching rate,mean,Katakura et al. 1989; Matsubayashi et al. 2017,0.681,0.463,0.190559441,0.52,0.628,-0.094076655,0.5334,2
Hni x Hya x Hpu,between species,pair 1,83,Hni x Hya,H. niponica,H. yasutomii,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,Katakura and Hosogai 1994; Matsubayashi et al. 2017,0.762,0.682,0.055401662,0.582,0.459,0.11815562,0.5334,2
Hni x Hya x Hpu,between species,pair 1,85,Hni x Hya,H. niponica,H. yasutomii,hybrid inviability,NA,"survivorship to adulthood reared on maternal host, thistle",mean,Kuwajima et al. 2010,0.663,0.082,0.779865772,0.921,0.841,0.045402951,0.5334,2
Hvm x Hpt x Hni x Hya,between species,pair 1,87,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.716,0.04,0.894179894,0.742,0.04,0.89769821,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,89,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.509,0.053,0.8113879,0.6,0.06,0.818181818,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,91,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.823,0.243,0.544090056,0.667,0.013,0.961764706,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,93,Hvm x Hni,H. vigintioctomaculata,H. niponica,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.626,0.075,0.786019971,0.258,0.019,0.862815884,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,95,Hvm x Hya,H. vigintioctomaculata,H. yasutomii,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.626,0.045,0.865871833,0.408,0.021,0.902097902,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,98,Hvm x Hya,H. vigintioctomaculata,H. yasutomii,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.814,0.224,0.568400771,0.654,0.017,0.949329359,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,100,Hvm x Hya,H. vigintioctomaculata,H. yasutomii,prehatching,NA,egg hatching rate,estimated,Katakura 1997,0.702,0.018,0.95,0.553,0.026,0.910189983,0.98,4
Hni x Hya x Hpu,between species,pair 1,102,Hni x Hpu,H. niponica,H. pustulosa,prehatching,NA,egg hatching rate,mean,Katakura 1981,0.341,0.304,0.057364341,0.655,0.651,0.003062787,0.5682,2
Hni x Hya x Hpu,between species,pair 1,104,Hni x Hya,H. niponica,H. yasutomii,prehatching,NA,egg hatching rate,mean,Katakura 1981,0.341,0.341,0,0.773,0.346,0.381590706,0.5334,2
Hni x Hya x Hpu,between species,pair 1,106,Hpu x Hya,H. pustulosa,H. yasutomii,prehatching,NA,egg hatching rate,mean,Katakura 1981,0.655,0.578,0.062449311,0.773,0.72,0.035498995,0.5677,2
Hni x Hya x Hpu,between species,pair 1,108,Hni x Hpu,H. niponica,H. pustulosa,hybrid inviability,NA,survivorship to adulthood reared on maternal host,mean,Katakura 1981,0.485,0.282,0.264667536,0.672,0.65,0.016641452,0.5682,2
Hni x Hya x Hpu,between species,pair 1,110,Hni x Hya,H. niponica,H. yasutomii,hybrid inviability,NA,survivorship to adulthood reared on maternal host,mean,Katakura 1981,0.485,0.324,0.199011125,0.304,0.183,0.248459959,0.5334,2
Hni x Hya x Hpu,between species,pair 1,112,Hpu x Hya,H. pustulosa,H. yasutomii,hybrid inviability,NA,survivorship to adulthood reared on maternal host,mean,Katakura 1981,0.672,0.481,0.165654814,0.304,0.451,-0.194701987,0.5677,2
